Feature,PC1,PC2
age,-0.0027868168,-0.0048368555
gender,-0.0005680642,-0.0002381646
bmi,-0.0015344548,-0.0030289204
children,-0.00027693782,-0.008881674
smoker,0.0035974202,-0.0006155828
region_southwest,-0.014698034,0.12922016
region_northwest,0.00443193,0.29190987
region_southeast,0.009629126,-0.42230058
medical_history_Heart_disease,-0.0052733594,-0.23018491
medical_history_High_blood_pressure,-0.013184299,0.19177605
medical_history_Diabetes,0.017468423,0.035287432
family_medical_history_Heart_disease,0.0166826,-0.26065266
family_medical_history_High_blood_pressure,-0.01670331,0.04314074
family_medical_history_Diabetes,0.002425026,0.21512155
exercise_frequency_Occasionally,-0.004321324,0.282235
exercise_frequency_Frequently,0.008276455,0.04601432
exercise_frequency_Never,-0.0023986227,-0.3271594
occupation_Student,0.0031394467,-0.35175455
occupation_Blue_collar,0.025084676,-0.08456402
occupation_White_collar,-0.030471614,0.43835786
coverage_level_Standard,0.70605963,0.018070595
coverage_level_Premium,-0.70597273,-0.01951503
