Variable,Mean Signed SHAP,Mean |SHAP|,Signed (tau_90),|SHAP| (tau_90),Signed (tau_95),|SHAP| (tau_95),Signed (tau_99),|SHAP| (tau_99)
smoker,0.022116853,0.57708484,0.509992,0.59612167,0.5346644,0.58376116,0.55336964,0.56631136
coverage_level,0.020142471,0.40124208,0.40640706,0.515254,0.48311293,0.5371986,0.59284425,0.59876055
medical_history,-0.030391803,0.36821488,0.35264295,0.502082,0.42237172,0.5180628,0.5886518,0.60816824
family_medical_history,0.006943159,0.3518582,0.37791485,0.49791086,0.43252146,0.53064394,0.6201391,0.6215361
occupation,0.011241108,0.1704564,0.0678795,0.18254131,0.08778931,0.18484205,0.092116445,0.17781395
exercise_frequency,0.008511478,0.15067162,0.054922044,0.16372779,0.08608221,0.17136,0.127645,0.19094598
gender,-0.0022235217,0.12176161,0.020001352,0.12203543,0.02596232,0.121817276,0.03116461,0.119865425
bmi,-0.0073916987,0.099429406,0.007848199,0.099460036,0.017362105,0.09547103,0.027480464,0.09234057
children,0.008213367,0.067584746,0.01831618,0.06798306,0.018873068,0.0679551,0.020852938,0.06513323
age,-0.0019553371,0.05817547,0.0036228828,0.05755828,0.0064741015,0.056824066,0.0008611991,0.056729253
region,0.0016434303,0.055979792,0.011078363,0.06168983,0.012624183,0.06242393,0.025349328,0.06997887
